year,question_no,category,difficulty,question_text,choiceA,choiceB,choiceC,choiceD,correct,explanation,law_references,revised_year,tags
2024,1,宅建業法,3,"宅地建物取引業者A社が専任の宅地建物取引士を配置する場合の要件について問う問題です。","営業所ごとに1名以上配置する","本店のみ配置すればよい","支店は不要","宅地建物取引士証は掲示不要",A,"宅建業法では各事務所に専任の宅地建物取引士を置くことを要求しています。","宅建業法第31条",2022,"宅建業法,専任取引士"
2024,2,権利関係,2,"代理権の範囲に関する基本的な理解を問う問題です。","無権代理は当然に無効","追認で有効になる","本人は常に責任を負う","表見代理の制度はない",B,"無権代理は本人が追認することで有効にできます。","民法第113条",2017,"代理,民法改正"
2023,10,法令上の制限,4,"都市計画法における用途地域の規制内容を問う問題です。","第一種低層住居専用地域では建ぺい率80%","近隣商業地域では劇場が建てられない","工業専用地域では住宅建築が可能","準住居地域は道路沿いの商業施設を想定",D,"準住居地域は道路沿いのサービス施設を想定した地域です。","都市計画法第9条",2020,"都市計画法,用途地域"
2023,11,税・その他,3,"不動産取得税の軽減措置に関する問題です。","住宅用地は常に課税標準1/2","宅地造成中は免税","新築住宅は要件により減額","軽減措置は存在しない",C,"新築住宅は一定の床面積要件を満たすと軽減措置があります。","地方税法",,"税制,不動産取得税"
2022,5,宅建業法,4,"重要事項説明の際に交付すべき書面の記載事項を問う問題です。","売主の職業は必須","手付金の額は不要","代金支払時期は記載","建物の築年数は不要",C,"代金の額や支払時期は必須項目です。","宅建業法第35条",2018,"重要事項説明,35条書面"
2022,6,権利関係,3,"抵当権実行の手続きについて問う問題です。","抵当権者は自ら競売できる","担保権者は常に物上代位できる","抵当権設定登記が必要","抵当権は譲渡不可",C,"抵当権を第三者に対抗するには設定登記が必要です。","民法第369条",2017,"抵当権,担保"
2021,12,宅建業法,3,"宅地建物取引業者Aが自ら売主となる場合の手付金保全措置について問う問題です。","常に保全措置不要","手付金が10%超で必要","媒介の場合のみ必要","宅建業者相手は不要",B,"売主業者が消費者と契約する際、手付金が代金の10%を超えると保全措置が必要です。","宅建業法第41条",2020,"手付金,保全措置"
2021,13,権利関係,4,"相続における遺留分侵害額請求に関する問題です。","請求期間は5年","法定相続分を超えた部分を請求","遺留分は放棄不可","遺留分制度は廃止",B,"遺留分侵害額請求では超過部分の金銭請求ができます。","民法第1046条",2018,"相続,遺留分"
2020,20,法令上の制限,2,"建築基準法における道路種別の理解を問う問題です。","42条1項5号道路は位置指定道路","42条2項道路はセットバック不要","道路幅員は常に6m","私道は道路に含まれない",A,"建築基準法第42条1項5号は位置指定道路を指します。","建築基準法第42条",2019,"建築基準法,道路"
2020,21,税・その他,2,"固定資産税の納期について問う問題です。","年4期","年1期","年2期","任意",A,"固定資産税は原則として年4期に分けて納付します。","地方税法",,"固定資産税,税金"
2019,30,宅建業法,2,"宅建業者が媒介契約を締結する際の媒介契約書に関する問題です。","書面は不要","専属専任媒介では書面交付義務","一般媒介では禁止","宅建士の記名不要",B,"専属専任媒介契約では書面交付義務があります。","宅建業法第34条",2016,"媒介契約,34条書面"
2019,31,権利関係,2,"賃貸借契約の更新に関する問題です。","期間満了で当然終了","借地借家法で正当事由が必要","更新料は違法","更新契約は書面必須",B,"借地借家法では正当事由が必要です。","借地借家法",,"賃貸借,正当事由"
2018,40,法令上の制限,3,"景観法に基づく景観地区の指定に関する問題です。","景観地区は都道府県のみ指定","市町村も指定可能","建築規制はできない","届出制度は存在しない",B,"景観地区は市町村が都市計画として指定できます。","景観法第61条",2019,"景観法,景観地区"
2018,41,税・その他,1,"所得税の青色申告特別控除に関する問題です。","10万円のみ","55万円又は65万円","100万円","控除制度なし",B,"一定要件を満たすと55万円または65万円の控除が受けられます。","所得税法",2020,"青色申告,税制"
2017,15,宅建業法,4,"監督処分に関する行政処分の種類を問う問題です。","指示処分は存在しない","業務停止は最長6カ月","免許取消はできない","指示処分は免許権者が行う",D,"指示処分は免許権者が行います。","宅建業法第65条",2015,"監督処分,行政処分"
2017,16,権利関係,3,"連帯保証に関する問題です。","催告の抗弁を主張できる","分別の利益を主張できない","求償権はない","責任は主債務者より軽い",B,"連帯保証人は分別の利益を主張できません。","民法第454条",2017,"保証,連帯"
2016,22,法令上の制限,2,"農地法における転用許可の要否を問う問題です。","農地を駐車場にするのは届出","農地を資材置場にするのは許可","農地を農地に貸すのは許可不要","農地の売買は常に届け出",B,"農地を資材置場にする場合は許可が必要です。","農地法第4条",2018,"農地法,転用"
2016,23,税・その他,2,"登録免許税の税率について問う問題です。","所有権移転登記は1000分の2","抵当権設定は1000分の4","相続登記は課税なし","課税標準は常に固定",A,"不動産の所有権移転登記は原則1000分の20(=1000分の2)です。","登録免許税法",,"登録免許税,税制"
2015,8,宅建業法,1,"免許換え申請に関する基礎的な問題です。","本店移転で必ず免許換え","都道府県内移転では不要","支店移転でも必要","免許換え制度はない",B,"同一都道府県内の本店移転では免許換え不要です。","宅建業法第6条",2014,"免許,宅建業法"
2015,9,権利関係,1,"時効取得に関する問題です。","善意無過失で10年","悪意で5年","常に20年","時効制度は廃止",A,"善意無過失の取得時効期間は10年です。","民法第162条",2017,"時効,取得時効"
